topic,pure_time,kg_time,pure_len,kg_len,pure_sim,kg_sim,pure_rouge_l,kg_rouge_l,pure_bleu,kg_bleu,pure_entity_recall,kg_entity_recall,total_entities
二叉树,32.48979735374451,41.830222845077515,3436,738,0.3967748964368998,0.6592924744790204,0.3466135412872812,0.6360856219319363,0.028728170445767476,0.466272677986826,7,10,30
哈希表,36.038989305496216,32.470845460891724,2897,698,0.34242032861264693,0.4973081708648251,0.27194491811056376,0.6315789424511815,0.04480303372079797,0.3298728911719884,5,9,28
快速排序,32.581703424453735,25.5667827129364,2747,412,0.20219807299298134,0.370366817744714,0.15757575544536273,0.6504064996761187,0.002480146951567686,0.228330348866346,1,6,6
链表,38.41317915916443,26.685909748077393,4860,136,0.0,0.0,0.0,0.0,0.0,0.0,8,10,46
图的遍历,42.99060583114624,32.814387798309326,3004,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
